MSOACD,NaPTANID,Distance
E02001197,9100HTCP,1261.80786219
E02006933,9100LVRPLCH,876.947466898
E02001117,9100GFLD,577.879285984
E02001196,9100ROMILEY,618.759067251
E02001114,9100MLSHILL,1906.94342154
E02001195,9100BREDBRY,477.726531959
E02001115,9100MOSSLEY,3516.15061923
E02001194,9100HTCP,1009.29340191
E02001112,9100MLSHILL,755.502311801
E02001193,9100HTCP,1203.989972
E02001113,9100MLSHILL,2943.72445093
E02001192,9100HTCP,146.693496638
E02001110,9100GFLD,1551.8572807
E02001191,9100WOODLEY,207.325763409
E02001111,9100MLSHILL,3882.33978468
E02001190,9100BRNGTN,310.680762502
E02001118,9100MOSSLEY,2706.56223949
E02001199,9100BAGE,1358.43749438
E02001119,9100MOSSLEY,4460.39145287
E02001198,9100ROMILEY,1017.878114
E02001026,9100CSTL,6999.58142085
E02001027,9100HITW,6457.53499707
E02001024,9100BRMCRSS,5272.13057857
E02001025,9100CSTL,6217.09125748
E02001022,9100BRMCRSS,7800.82497957
E02001023,9100BRMCRSS,6586.52839712
E02001020,9100BRMCRSS,5446.67887866
E02001021,9100BRMCRSS,4946.06462642
E02001028,9100HITW,5505.74674767
E02004016,9100WMER,887.191758753
E02001029,9100KEARSLY,6965.88801273
E02004017,9100KENDAL,456.536156817
E02004014,9100KSTP,2946.37856311
E02004015,9100WMER,6614.73207018
E02004012,9100PNTH,6222.6015978
E02004013,9100APBY,3899.29806846
E02004010,9100PNTH,347.544587427
E02004018,9100KENDAL,956.97648481
E02004019,9100KENDAL,1270.46158149
E02001376,9100EDGH,1191.44114823
E02001377,9100EDGH,864.894864407
E02001374,9100EDGH,1423.10545778
E02001375,9100BROADGR,1369.44655725
E02001372,9100BROADGR,1457.1574657
E02001373,9100WVRTTEC,1345.23387695
E02001370,9100EDGH,2070.00693998
E02001371,9100ROBY,1536.09724858
E02001378,9100WVRTTEC,614.812180024
E02005316,9100UPHOLND,2442.14583943
E02005317,9100UPHOLND,1648.97261143
E02005314,9100RNFD,3756.7690051
E02005315,9100TOWNGRN,781.979893395
E02005312,9100PARBOLD,3189.32802927
E02005313,9100UPHOLND,3751.31837515
E02005310,9100ORMSKRK,329.912556854
E02005311,9100ORMSKRK,2997.14354776
E02005318,9100UPHOLND,1583.49231206
E02005319,9100PLTNLFY,8386.00828542
E02005226,9100MORCAME,632.378500157
E02005224,9100BARELA,283.576978341
E02005225,9100LANCSTR,6136.95905327
E02005222,9100WENNGTN,3747.09856965
E02005223,9100BARELA,3317.7604389
E02005221,9100CRNF,74.2841384011
E02001216,9100CHDH,800.905318265
E02001297,9100PBRT,1806.94758183
E02001217,9100HAZL,554.679436508
E02001296,9100PBRT,1537.00016986
E02001214,9100GATLEY,862.224518195
E02001295,9100WIGANWL,954.393033559
E02001215,9100ROHL,1329.43315761
E02001294,9100WIGANWL,1115.8383807
E02001212,9100DAVNPRT,1251.56834734
E02001293,9100INCE,1891.59885962
E02001213,9100WMOR,196.975085206
E02001292,9100WIGANWL,1492.0796252
E02001210,9100WMOR,1312.65419536
E02001291,9100WIGANWL,2106.97325135
E02005228,9100MORCAME,794.589635193
E02001211,9100GATLEY,301.924877044
E02001290,9100BLRD,2667.67063679
E02005229,9100MORCAME,1270.29487365
E02001218,9100CHDH,1403.34678883
E02001299,9100HINDLEY,798.432418761
E02001219,9100HAZL,771.751718485
E02001298,9100INCE,665.055889959
E02002597,9100PADGATE,1226.6799134
E02002596,9100PADGATE,1141.90920752
E02002595,9100PADGATE,2355.85554566
E02002594,9100BIRCHWD,1085.58659417
E02002593,9100BIRCHWD,1278.20727627
E02002592,9100ERLSTWN,2296.41566403
E02002591,9100BIRCHWD,4207.54928338
E02002590,9100BIRCHWD,4350.04131775
E02002599,9100SANKEY,1788.61298198
E02002598,9100SANKEY,1351.80126419
E02001476,9100BRKNHDN,1276.68438867
E02001477,9100BRKNHDN,772.712858706
E02001474,9100BRKNHDP,1920.98074956
E02001475,9100LEASOWE,236.775967938
E02001473,9100BRKNHDN,1531.44704807
E02001470,9100WALASYV,1059.47845081
E02001471,9100NBTN,2264.12228644
E02001478,9100MOTO,658.22958514
E02001479,9100MELS,822.960614422
E02002616,9100BLKB,1973.50024593
E02002617,9100BLKB,1512.07911301
E02002614,9100WRGTNBQ,4157.37917823
E02002615,9100RMSWILP,1260.61065054
E02002612,9100WRGTNBQ,2552.56645898
E02002613,9100WRGTNBQ,4389.20509195
E02002610,9100BIRCHWD,4837.5571552
E02002611,9100PADGATE,3257.76931599
E02002618,9100BLKB,1203.90813338
E02002619,9100BLKB,1423.45975632
E02006902,9100MNCRVIC,568.747679032
E02003866,9100MACLSFD,1881.48701985
E02003867,9100MACLSFD,2504.14545912
E02003864,9100ALDEDGE,351.490240168
E02003865,9100PSBY,2738.93826629
E02003862,9100PSBY,303.501986335
E02003863,9100KNUTSFD,321.807057256
